1 epoch, LR 0.000100, LOSS 11.828165, mAP 0.00%, bestmAP 0.00%
2 epoch, LR 0.000095, LOSS 11.760712, mAP 0.00%, bestmAP 0.00%
3 epoch, LR 0.000090, LOSS 10.834437, mAP 0.00%, bestmAP 0.00%
4 epoch, LR 0.000086, LOSS 9.406823, mAP 0.00%, bestmAP 0.00%
5 epoch, LR 0.000081, LOSS 8.617109, mAP 0.00%, bestmAP 0.00%
6 epoch, LR 0.000077, LOSS 9.439318, mAP 0.00%, bestmAP 0.00%
7 epoch, LR 0.000074, LOSS 8.076133, mAP 0.00%, bestmAP 0.00%
8 epoch, LR 0.000070, LOSS 6.797944, mAP 0.04%, bestmAP 0.04%
9 epoch, LR 0.000066, LOSS 7.842017, mAP 0.09%, bestmAP 0.09%
10 epoch, LR 0.000063, LOSS 5.732761, mAP 0.14%, bestmAP 0.14%
1 epoch, LR 0.000100, LOSS 12.667815, mAP 0.00%, bestmAP 0.00%
2 epoch, LR 0.000095, LOSS 11.951651, mAP 0.00%, bestmAP 0.00%
1 epoch, LR 0.000100, LOSS 12.624831, mAP 0.00%, bestmAP 0.00%
1 epoch, LR 0.000100, LOSS 12.253280, mAP 0.00%, bestmAP 0.00%
2 epoch, LR 0.000095, LOSS 11.645165, mAP 0.00%, bestmAP 0.00%
3 epoch, LR 0.000090, LOSS 10.666063, mAP 0.00%, bestmAP 0.00%
4 epoch, LR 0.000086, LOSS 9.605142, mAP 0.00%, bestmAP 0.00%
5 epoch, LR 0.000081, LOSS 8.877419, mAP 0.00%, bestmAP 0.00%
6 epoch, LR 0.000077, LOSS 10.570814, mAP 0.00%, bestmAP 0.00%
7 epoch, LR 0.000074, LOSS 7.979249, mAP 0.05%, bestmAP 0.05%
8 epoch, LR 0.000070, LOSS 8.809752, mAP 0.13%, bestmAP 0.13%
9 epoch, LR 0.000066, LOSS 8.543646, mAP 0.18%, bestmAP 0.18%
10 epoch, LR 0.000063, LOSS 5.309688, mAP 0.19%, bestmAP 0.19%
11 epoch, LR 0.000060, LOSS 7.603007, mAP 0.19%, bestmAP 0.19%
12 epoch, LR 0.000057, LOSS 5.790301, mAP 0.21%, bestmAP 0.21%
13 epoch, LR 0.000054, LOSS 9.238402, mAP 0.22%, bestmAP 0.22%
14 epoch, LR 0.000051, LOSS 8.364123, mAP 0.24%, bestmAP 0.24%
15 epoch, LR 0.000049, LOSS 9.756857, mAP 0.26%, bestmAP 0.26%
16 epoch, LR 0.000046, LOSS 5.746327, mAP 0.27%, bestmAP 0.27%
17 epoch, LR 0.000044, LOSS 5.176884, mAP 0.25%, bestmAP 0.27%
18 epoch, LR 0.000042, LOSS 5.683221, mAP 0.28%, bestmAP 0.28%
19 epoch, LR 0.000040, LOSS 4.818841, mAP 0.29%, bestmAP 0.29%
20 epoch, LR 0.000038, LOSS 6.661454, mAP 0.28%, bestmAP 0.29%
1 epoch, LR 0.000100, LOSS 12.345924, mAP 0.00%, bestmAP 0.00%
2 epoch, LR 0.000095, LOSS 11.309580, mAP 0.00%, bestmAP 0.00%
3 epoch, LR 0.000090, LOSS 10.376348, mAP 0.00%, bestmAP 0.00%
4 epoch, LR 0.000086, LOSS 10.319891, mAP 0.09%, bestmAP 0.09%
